;50005305;50007476;50005964;50008374;
50030620;17.47;17.47;17.47;14.85;
50030621;28.89;28.89;28.89;24.56;
50030622;23.6;23.6;23.6;20.06;
50030623;29.25;29.25;29.25;24.86;
50030624;26.27;26.27;26.27;22.33;
50030627;23.6;23.6;23.6;20.06;
50030630;3.75;3.75;3.75;3.19;
50030632;3.23;3.23;3.23;2.75;
50030634;2.57;2.57;2.57;2.18;
50030635;4.33;4.33;4.33;3.68;
50030636;3.92;3.92;3.92;3.33;
50030637;3.2;3.2;3.2;2.72;
50030639;2.72;2.72;2.72;2.31;
50030640;5.24;5.24;5.24;4.45;
50030641;4.09;4.09;4.09;3.48;
50030642;3.5;3.5;3.5;2.98;
50030643;2.86;2.86;2.86;2.43;
50030644;4.33;4.33;4.33;3.68;
50030645;4;4;4;3.4;
50030646;3.21;3.21;3.21;2.73;
50030647;2.72;2.72;2.72;2.31;
50021332;9.5;9.5;9.5;8.08;
50021333;11.77;11.77;11.77;10;
50021334;15.33;15.33;15.33;13.03;
50021336;16.52;16.52;16.52;14.04;
50021339;9.99;9.99;9.99;8.49;
50021343;4.34;4.34;4.34;3.69;
50021344;3.9;3.9;3.9;3.32;
50021347;4.4;4.4;4.4;3.74;
50021348;11.42;11.42;11.42;9.71;
50021350;5.07;5.07;5.07;4.31;
50021351;6.37;6.37;6.37;5.41;
50021352;5.82;5.82;5.82;4.95;
50021354;7.56;7.56;7.56;6.43;
50021355;11.74;11.74;11.74;9.98;
50021356;9.86;9.86;9.86;8.38;
50021359;4.34;4.34;4.34;3.69;
50021361;5.26;5.26;5.26;4.47;
50021362;5.78;5.78;5.78;4.91;
50021366;3.55;3.55;3.55;3.02;
50021367;4.64;4.64;4.64;3.94;
50021368;3.94;3.94;3.94;3.35;
50021369;7.44;7.44;7.44;6.32;
50021372;7.39;7.39;7.39;6.28;
50021373;5.39;5.39;5.39;4.58;
50021374;5.1;5.1;5.1;4.34;
50021375;7.45;7.45;7.45;6.33;
50021377;5.65;5.65;5.65;4.8;
50021379;6.38;6.38;6.38;5.42;
50021381;7.09;7.09;7.09;6.03;
50021384;12.25;12.25;12.25;10.41;
50021391;7.73;7.73;7.73;6.57;
50035506;13.11;13.11;13.11;11.14;
50035507;24.12;24.12;24.12;20.5;
50035511;4.37;4.37;4.37;3.71;
50035515;3.8;3.8;3.8;3.23;
50035517;6.77;6.77;6.77;5.75;
50035518;6.23;6.23;6.23;5.3;
50035521;0.86;0.86;0.86;0.73;
50036566;0.76;0.72;0.76;0.65;
50036568;2.38;2.5;2.5;2.13;
50036569;2.38;2.5;2.5;2.13;
50036574;5.47;5.47;5.47;4.65;
50036598;2.29;2.17;2.29;1.95;
50025876;42.82;42.82;42.82;36.4;
50025878;32.22;32.22;32.22;27.39;
50025883;5.28;5.28;5.28;4.49;
50025885;6.03;6.03;6.03;5.13;
50026059;101.03;101.03;101.03;85.88;
50032475;11.27;11.27;11.27;9.58;
50032476;4.79;4.79;4.79;4.07;
50034522;1.88;1.98;1.98;1.68;
50034523;0.95;0.95;0.95;0.81;
50034524;1.96;1.78;2.06;1.75;
50033230;11.04;10.06;11.58;9.84;
50025779;99.75;99.75;99.75;84.79;
50025780;89.22;89.22;89.22;75.84;
50025781;77.08;77.08;77.08;65.52;
50025784;191.82;191.82;191.82;163.05;
50025796;3.03;3.03;3.03;2.58;
50025797;1.5;1.5;1.5;1.28;
50025798;0.41;0.41;0.41;0.35;
50025799;0.29;0.29;0.29;0.25;
50033524;8.09;8.51;8.51;7.23;
50033533;9.12;9.12;9.12;7.75;
50030089;139.38;139.38;139.38;118.47;
50030092;31;31;31;26.35;
50030094;41.17;41.17;41.17;34.99;
50030095;58.07;58.07;58.07;49.36;
50030096;68.77;68.77;68.77;58.45;
50030097;23.92;23.92;23.92;20.33;
50030146;15.78;15.78;15.78;13.41;
50030149;7.96;7.96;7.96;6.77;
50030167;6.35;6.35;6.35;5.4;
50030169;18.52;18.52;18.52;15.74;
50030170;18.19;18.19;18.19;15.46;
50030171;20.19;20.19;20.19;17.16;
50030172;17.4;17.4;17.4;14.79;
50030174;23.47;23.47;23.47;19.95;
50030175;32.41;32.41;32.41;27.55;
50030179;11.52;11.52;11.52;9.79;
50030181;15.87;15.87;15.87;13.49;
50030183;20.56;20.56;20.56;17.48;
50030186;36.61;36.61;36.61;31.12;
50030189;7.84;7.84;7.84;6.66;
50030195;6.61;6.61;6.61;5.62;
50030196;10.49;10.49;10.49;8.92;
50030202;90.46;90.46;90.46;76.89;
50030207;33.04;33.04;33.04;28.08;
50030209;13.15;13.15;13.15;11.18;
50030211;7.95;7.95;7.95;6.76;
50030222;33.94;33.94;33.94;28.85;
50030223;33.94;33.94;33.94;28.85;
50030233;70.63;70.63;70.63;60.04;
