;50005305;50007476;50005964;50008374;
7e9d7aae-7390-11df-80c2-0002b3d8ef82;1.94;1.94;1.94;2.07;
1bb907bf-73b6-11df-80c2-0002b3d8ef82;2.83;2.83;2.83;3;
460ffa5e-73b7-11df-80c2-0002b3d8ef82;3.28;3.28;3.28;3.49;
6f5c8ac0-73bd-11df-80c2-0002b3d8ef82;3.06;3.06;3.06;3.26;
1dcd716b-73c1-11df-80c2-0002b3d8ef82;3.52;3.52;3.52;3.74;
1dcd716d-73c1-11df-80c2-0002b3d8ef82;5.95;5.95;5.95;6.32;
6cf32d6f-73c3-11df-80c2-0002b3d8ef82;2.35;2.35;2.35;2.5;
6cf32d73-73c3-11df-80c2-0002b3d8ef82;3.59;3.59;3.59;3.82;
6cf32d75-73c3-11df-80c2-0002b3d8ef82;4.05;4.05;4.05;4.3;
f13e2820-7784-11df-80c2-0002b3d8ef82;0.77;0.95;0.77;0.94;
f13e282d-7784-11df-80c2-0002b3d8ef82;1.2;1.2;1.2;1.46;
ce9f3599-9aec-11e3-80c9-002590a3186d;31.72;31.72;31.72;31.72;
ce9f35a5-9aec-11e3-80c9-002590a3186d;19.7;19.7;19.7;19.7;
ce9f35a7-9aec-11e3-80c9-002590a3186d;38.56;38.56;38.56;38.56;
ce9f35af-9aec-11e3-80c9-002590a3186d;13.99;13.99;13.99;13.99;
ce9f35b3-9aec-11e3-80c9-002590a3186d;21.86;21.86;21.86;21.86;
ce9f35b7-9aec-11e3-80c9-002590a3186d;21.02;21.02;21.02;21.02;
ca7b4669-9fb6-11e3-80c9-002590a3186d;28.94;28.94;28.94;28.94;
db71eb06-a057-11e3-80c9-002590a3186d;9.5;9.5;9.5;8.98;
db71eb08-a057-11e3-80c9-002590a3186d;2.64;2.64;2.64;2.49;
db71eb0a-a057-11e3-80c9-002590a3186d;5.84;5.84;5.84;5.52;
db71eb0c-a057-11e3-80c9-002590a3186d;11.31;11.31;11.31;10.68;
db71eb0e-a057-11e3-80c9-002590a3186d;12.39;12.39;12.39;11.7;
db71eb10-a057-11e3-80c9-002590a3186d;31.73;31.73;31.73;29.96;
db71eb12-a057-11e3-80c9-002590a3186d;12.89;12.89;12.89;12.17;
db71eb14-a057-11e3-80c9-002590a3186d;9.86;9.86;9.86;9.31;
db71eb16-a057-11e3-80c9-002590a3186d;6.89;6.89;6.89;6.5;
db71eb18-a057-11e3-80c9-002590a3186d;10.67;10.67;10.67;10.08;
db71eb1a-a057-11e3-80c9-002590a3186d;9.71;9.71;9.71;9.17;
db71eb1c-a057-11e3-80c9-002590a3186d;5.18;5.18;5.18;4.9;
db71eb1e-a057-11e3-80c9-002590a3186d;7.66;7.66;7.66;7.23;
db71eb20-a057-11e3-80c9-002590a3186d;16.44;16.44;16.44;15.53;
db71eb22-a057-11e3-80c9-002590a3186d;6.76;6.76;6.76;6.38;
db71eb24-a057-11e3-80c9-002590a3186d;14.69;14.69;14.69;13.87;
db71eb26-a057-11e3-80c9-002590a3186d;2.38;2.38;2.38;2.24;
db71eb28-a057-11e3-80c9-002590a3186d;56;56;56;52.89;
db71eb2c-a057-11e3-80c9-002590a3186d;20.08;20.08;20.08;18.96;
db71eb30-a057-11e3-80c9-002590a3186d;12.33;12.33;12.33;11.65;
db71eb32-a057-11e3-80c9-002590a3186d;16.42;16.42;16.42;15.5;
db71eb34-a057-11e3-80c9-002590a3186d;24.14;24.14;24.14;22.8;
db71eb36-a057-11e3-80c9-002590a3186d;26.55;26.55;26.55;25.08;
db71eb38-a057-11e3-80c9-002590a3186d;13.32;13.32;13.32;12.58;
db71eb3c-a057-11e3-80c9-002590a3186d;25.66;25.66;25.66;24.23;
db71eb3e-a057-11e3-80c9-002590a3186d;38.09;38.09;38.09;35.97;
db71eb40-a057-11e3-80c9-002590a3186d;10.84;10.84;10.84;10.23;
db71eb44-a057-11e3-80c9-002590a3186d;23.17;23.17;23.17;21.88;
343ef050-a05b-11e3-80c9-002590a3186d;11.3;11.3;11.3;10.68;
343ef052-a05b-11e3-80c9-002590a3186d;17.06;17.06;17.06;16.12;
343ef054-a05b-11e3-80c9-002590a3186d;24.15;24.15;24.15;22.81;
343ef056-a05b-11e3-80c9-002590a3186d;34.28;34.28;34.28;32.38;
343ef05a-a05b-11e3-80c9-002590a3186d;1.91;1.91;1.91;1.8;
343ef05e-a05b-11e3-80c9-002590a3186d;2.64;2.64;2.64;2.49;
343ef062-a05b-11e3-80c9-002590a3186d;1.91;1.91;1.91;1.8;
343ef066-a05b-11e3-80c9-002590a3186d;3.83;3.83;3.83;3.62;
343ef068-a05b-11e3-80c9-002590a3186d;3.15;3.15;3.15;2.98;
343ef06a-a05b-11e3-80c9-002590a3186d;2.08;2.08;2.08;1.96;
343ef06c-a05b-11e3-80c9-002590a3186d;4.41;4.41;4.41;4.17;
343ef06e-a05b-11e3-80c9-002590a3186d;2.91;2.91;2.91;2.75;
343ef072-a05b-11e3-80c9-002590a3186d;1.91;1.91;1.91;1.8;
343ef076-a05b-11e3-80c9-002590a3186d;4.04;4.04;4.04;3.82;
343ef07c-a05b-11e3-80c9-002590a3186d;6.71;6.71;6.71;6.33;
343ef082-a05b-11e3-80c9-002590a3186d;5.99;5.99;5.99;5.66;
343ef084-a05b-11e3-80c9-002590a3186d;7.21;7.21;7.21;6.81;
